warehouse_id,sku_id,wh_cs_actual,vm_cs_actual
5,22227,380,20
5,22229,483,25
5,22289,550,29
5,22394,282,15
5,22469,105,6
5,22596,273,14
5,22776,357,19
5,22777,1105,58
5,22778,504,27
5,22853,453,24
5,23042,115,6
5,23235,0,0
5,23263,779,41
5,23319,151,8
5,23396,156,8
5,23398,173,9
5,23399,123,7
5,23400,180,10
5,23460,407,21
5,23461,151,8
5,23462,329,17
5,23471,827,44
5,23507,121,6
5,23509,141,7
5,23511,105,6
5,23518,0,1
5,23712,579,31
5,23745,884,47
5,23749,0,0
5,23816,0,4
5,23818,338,18
5,23823,132,7
5,23969,856,45
5,23980,0,1
5,23981,143,8
5,23995,1485,78
5,24010,0,2
5,24011,0,5
5,24015,0,0
5,24017,287,15
5,24064,178,9
5,24174,0,3
5,24175,0,0
5,24224,410,22
5,24225,373,20
5,24226,127,7
5,24227,122,6
5,24376,0,0
5,24408,1883,99
5,24409,116,6
5,24410,129,7
5,24411,138,7
5,24412,123,7
5,24459,986,52
5,24739,1595,84
5,24740,1914,101
5,24789,518,27
5,24794,1024,54
5,24802,419,22
5,24805,657,35
5,24806,559,29
5,24810,0,5
5,24811,437,23
5,24847,411,22
5,24848,458,24
5,24870,158,8
5,24871,332,18
5,25117,2161,114
5,25274,118,6
5,25277,0,2
