warehouse_id,vending_machine_id,sku_group_id,calc_direct_refill
6,4849,17976,149
4,1707,28176,0
5,5082,39433,0
6,611,43283,35
6,2190,19644,88
6,4614,14970,64
8,2446,11018,0
13,3496,37421,0
6,4710,2511,25
6,577,1843,23
66,2693,39977,0
8,5929,11068,0
6,5419,6573,154
6,589,6309,7
15,2607,36054,0
6,666,42770,18
6,4088,2053,14
6,581,2097,48
9,2791,40318,0
13,4950,10135,4
13,4950,9920,11
8,6151,24833,0
6,612,43287,13
6,622,6507,37
6,640,33851,24
6,653,43283,18
9,858,8619,0
15,4759,41595,0
6,667,35375,4
6,1815,2097,58
6,1815,14822,35
6,635,6281,35
3,1263,23267,0
6,2243,2216,28
6,627,7165,65
6,4614,34752,18
16,5154,41402,0
2,5443,40057,0
6,2242,1712,23
6,4539,33852,10
5,5405,8042,0
8,6152,43995,0
2,1957,37141,0
6,632,6319,2
6,665,6519,19
1,2151,12792,0
8,5495,33863,0
6,667,40224,9
6,4538,7165,33
6,5483,7150,39
6,608,23137,183
4,4953,43679,0
13,2292,37829,0
2,6082,36098,12
6,2545,24819,29
6,616,19644,39
8,5395,43727,0
8,6150,43727,0
6,581,6303,3
6,626,34753,16
6,5482,14963,244
6,944,32054,41
2,5263,34426,0
3,5323,24828,0
6,5480,17976,92
6,5483,35375,13
66,2819,37025,0
6,627,40223,19
6,607,40604,4
8,3518,37838,0
8,5025,22237,0
13,3558,29651,0
6,579,40224,14
4,4811,38617,0
6,5483,7144,14
6,605,39891,5
6,4878,2053,64
6,4849,6999,80
9,2791,8627,0
6,5479,40224,35
6,588,6583,20
6,650,6573,72
6,5481,40779,41
6,5418,2450,23
2,1134,24779,0
6,460,39891,35
4,4784,24826,0
6,2549,40223,12
8,4749,11427,0
13,5165,16495,0
6,616,6613,120
6,3184,6324,1
6,5481,6281,70
6,618,14989,248
6,599,14821,13
8,1698,39739,0
15,4763,39429,15
6,615,41085,1
6,565,42172,8
9,851,41773,0
6,620,32054,16
8,2703,39832,0
6,2168,40223,18
8,3019,36503,0
8,5850,37285,0
66,2291,41811,0
8,2425,39739,0
6,635,6512,465
6,617,14990,15
3,6011,41663,0
4,2996,32350,0
6,4849,33853,73
66,4986,39551,0
5,5403,28857,0
3,3407,40385,0
8,5395,12001,0
4,3542,43679,0
6,2242,45172,4
4,2932,40442,0
8,4179,11189,0
6,2168,43288,54
1,6042,14167,0
6,644,40224,18
9,951,40317,0
6,4000,45221,0
13,5840,38140,0
6,577,1591,18
15,3208,23372,3
8,5429,11021,0
6,571,6459,27
6,613,23133,31
6,642,6614,31
6,665,7165,106
6,576,32052,7
6,612,23099,55
6,630,1636,31
6,616,14822,16
6,948,15393,87
6,1628,1839,32
6,583,30447,23
6,652,34347,11
6,644,33853,11
6,2242,6246,111
6,2242,32052,104
6,613,6551,27
6,1938,32052,62
6,630,24960,23
6,2190,14822,189
6,665,34752,34
6,576,19472,25
6,623,21468,32
6,616,34755,26
6,637,22245,11
6,2168,1713,33
6,4003,1713,17
6,581,14823,48
6,576,1713,10
6,570,34758,24
6,663,22242,57
6,630,14506,18
6,627,33854,30
6,667,22242,63
6,1938,34753,31
6,1078,21465,5
6,4272,34754,26
16,3313,31661,7
6,637,14507,18
6,571,32117,43
6,650,1636,5
6,2244,14821,11
6,2549,32054,17
6,586,6507,14
6,628,7146,64
6,638,15023,67
6,586,19644,4
6,2549,34757,16
6,627,21466,63
6,610,35372,6
6,4003,32053,45
6,2547,34753,35
6,2245,34754,51
6,603,34757,22
6,2551,24819,96
6,609,14506,176
6,654,22242,6
6,2543,35636,6
6,667,24820,36
6,616,33851,19
6,654,2053,22
6,624,34758,26
6,622,23137,60
6,645,17976,438
6,4275,7144,9
6,573,14507,15
6,4538,19472,26
6,651,6459,100
6,654,14823,29
6,621,34752,5
6,626,15006,54
6,2547,1703,30
6,567,35372,17
6,627,6519,51
6,623,14922,20
6,632,6427,19
6,2242,6620,131
6,1938,34752,66
6,644,6459,69
6,650,1890,17
6,645,34755,8
6,646,2097,28
6,1892,6459,28
6,4878,19472,249
6,640,1709,8
6,1939,2097,22
6,3184,2235,8
6,1628,7165,113
6,4849,34753,13
6,1628,1707,207
6,570,33854,28
6,4003,2097,33
6,635,2013,59
6,1892,14967,72
6,635,14533,91
6,599,2511,140
6,626,6265,36
6,673,2235,3
6,4540,6319,26
6,632,7165,15
6,618,1843,16
6,624,6512,33
6,628,2216,27
6,598,24820,18
6,649,6423,32
6,641,23097,77
6,614,38623,4
6,593,38621,20
6,580,15395,71
1,1285,19501,0
6,4849,6266,46
6,588,2235,24
66,4978,36808,0
6,598,38621,4
6,594,1591,7
6,1938,7165,44
13,5081,37839,0
6,5483,17976,195
13,4048,10733,46
6,673,2097,5
6,4878,23098,49
6,5207,6423,45
5,4658,7748,0
6,666,2216,5
6,5419,7151,18
6,668,7150,106
13,5464,9907,0
6,653,40224,8
8,5426,11427,4
6,581,2216,26
6,619,40611,7
6,1447,2097,1
9,857,33338,0
6,627,6999,53
6,639,19569,38
6,2942,14533,4
6,599,7144,62
6,599,2235,91
6,601,7165,20
