warehouse_id,vending_machine_id,manufacturer_variant_id,sales
1,3656,22124,6
1,3150,12157,25
1,4105,28229,3
1,3156,33770,18
1,4164,28229,8
1,4888,28229,59
1,3602,32598,1
1,4888,18106,236
1,5159,25610,232
1,4900,38049,243
1,3660,12854,7
1,4900,13135,97
1,2560,40663,2
1,6117,16037,4
1,4322,15209,9
1,6117,26060,11
1,1723,13970,15
1,6117,36087,31
1,3651,21434,22
1,4204,32348,12
1,3805,35687,10
1,3288,21656,14
1,1119,34006,29
1,3322,31322,4
1,4773,34434,14
1,3052,37832,100
1,1137,34413,5
1,4921,36640,32
1,1138,20808,30
1,4921,36305,16
1,5956,33768,22
1,4921,30820,116
1,3696,42783,13
1,4797,33768,10
1,5963,41964,12
1,4809,37045,4
1,5963,30820,28
1,2127,21390,11
1,4797,13743,54
1,4941,36632,35
1,4798,23639,265
1,4941,30820,36
1,4798,18106,370
1,4947,16037,42
1,4798,30820,519
1,2197,18106,20
1,4798,12792,56
1,2205,20852,202
1,4799,36630,2
1,3508,13744,13
1,4800,20848,136
1,3531,13744,67
1,4800,34006,67
1,3585,20848,220
1,4800,15430,83
1,4563,23640,4
1,4800,28229,296
1,2798,36766,33
1,4800,20845,68
1,4968,15827,76
1,2437,30941,29
1,4969,36486,25
1,3393,36631,37
1,3285,20519,57
1,1948,16037,60
1,3602,17951,4
1,1948,20523,25
1,3603,27897,20
1,4808,17889,227
1,3051,36766,15
1,4808,33527,190
1,3651,26214,6
1,4809,23548,36
1,4589,24866,10
1,4809,34006,26
1,4589,23374,7
1,3720,16037,133
1,4618,34006,59
1,1948,14692,2
1,4619,23374,9
1,3854,43634,9
1,4628,21820,4
1,1794,33772,8
1,3653,22007,14
1,1948,22921,10
1,3656,31322,12
1,3720,12327,133
1,4628,24865,45
1,1835,14167,17
1,3696,31475,13
1,1948,33525,15
1,1641,20850,98
1,1948,24843,21
1,3720,28229,81
1,1638,35326,25
1,5339,22944,17
1,2101,36636,37
1,4102,26061,17
1,2380,14880,8
1,3927,13743,142
1,2403,36486,27
1,3927,23639,98
1,3747,26214,9
1,68,13232,57
1,1723,36036,98
1,179,15194,7
1,1831,14894,7
1,230,14860,19
1,1894,34399,30
1,3688,25609,333
1,4875,15430,63
1,2025,23639,142
1,1916,30820,94
1,3696,36488,12
1,2025,30820,125
1,2205,37490,31
1,3844,33528,8
1,655,29907,4
1,3927,32348,163
1,5526,33527,13
1,2127,35326,5
1,4052,37832,41
1,4888,36757,31
1,5559,34101,1
1,4888,36425,81
1,4163,25610,432
1,2127,23637,10
1,4206,34397,1
1,2221,35224,6
1,4228,32348,7
1,4900,24865,10
1,2342,40664,8
1,2323,33634,11
1,4053,19501,60
1,1970,23151,14
1,4063,23151,13
1,401,41965,18
1,3993,25609,176
1,4009,23151,6
1,2799,24838,6
1,2127,36352,4
1,5565,23260,48
1,2798,25452,9
1,4102,20523,20
1,3650,33527,62
1,2508,40667,48
1,4921,36641,31
1,5800,18581,12
1,4921,36635,29
1,4086,30169,5
1,4936,13135,88
1,3155,36635,10
1,4064,19432,17
1,3158,44077,11
1,4103,19501,70
1,4011,30820,99
1,2403,20808,34
1,4421,25610,145
1,3650,35326,22
1,4422,20523,32
1,4947,36766,22
1,3393,34399,99
1,4947,20852,50
1,3280,43638,6
1,4947,36637,9
1,4118,21656,12
1,2343,19434,8
1,4102,24838,8
1,2508,30820,58
1,255,20850,18
1,2928,23151,10
1,5980,14017,21
1,5149,19501,27
1,6143,24838,26
1,4809,35224,3
1,4102,32179,16
1,3420,13744,38
1,1579,38748,7
1,5938,41966,2
1,4041,26060,49
1,3688,35224,37
1,5980,26060,13
1,4320,33526,50
1,1630,36305,4
1,3748,17952,7
1,1785,21851,24
1,3044,20851,13
1,4102,20519,108
1,30,21656,8
1,4102,33528,28
1,89,12441,12
1,4629,33525,6
1,2437,33020,6
1,4103,19500,70
1,4086,40663,23
1,6143,41567,28
1,90,30485,30
1,1785,34399,2
1,4203,36639,18
1,4052,23638,66
1,230,32348,45
1,4052,24865,9
1,5249,30484,58
1,6143,21851,47
1,5307,39002,6
1,99,36486,23
1,4618,24865,25
1,1630,25431,8
1,2004,12327,56
1,1782,30169,13
1,2004,24202,7
1,4103,20848,44
1,2004,18556,80
1,4103,17951,46
1,2004,31644,11
1,1843,23548,104
1,4229,20851,14
1,4936,20778,40
1,5548,14017,49
1,4103,32179,14
1,5023,23639,71
1,6143,43641,51
