warehouse_id,vending_machine_id,sku_group_id,extra,remove,expiry
6,609,1645,0,6,2
6,879,1645,0,0,0
6,3184,1645,0,2,0
6,670,1645,2,0,0
6,1938,1645,0,6,0
6,4275,1645,0,0,5
6,651,1645,0,0,0
6,4710,1645,0,7,0
6,672,1645,0,0,0
6,2550,1645,0,8,0
6,673,1645,0,0,0
6,669,1645,0,0,0
6,1066,1645,0,0,0
6,632,1645,0,7,0
6,606,1645,0,1,0
6,4970,1645,0,0,0
6,588,1645,0,0,0
6,604,1645,0,0,0
6,4614,1645,2,0,1
6,2547,1645,0,2,0
6,2549,1645,0,8,0
6,638,1645,0,2,0
6,621,1645,0,1,5
6,4878,1645,0,8,0
6,623,1645,0,0,0
6,4849,1645,0,0,0
6,593,1645,0,5,0
6,628,1645,0,8,2
6,582,1645,0,18,0
6,2543,1645,0,16,1
6,635,1645,0,2,0
6,949,1645,0,0,0
6,2168,1645,0,7,0
6,646,1645,0,0,0
6,943,1645,1,0,0
6,2190,1645,0,1,0
6,569,1645,0,0,3
6,880,1645,0,1,5
6,611,1645,0,0,0
6,636,1645,0,2,0
6,5481,1645,0,1,0
6,649,1645,0,1,0
6,944,1645,0,0,0
6,4003,1645,0,0,0
6,2245,1645,0,0,0
6,634,1645,0,0,0
6,1477,1645,0,1,0
6,652,1645,0,7,0
6,5418,1645,0,1,0
6,1478,1645,0,0,0
6,644,1645,0,0,0
6,570,1645,0,0,0
6,4538,1645,0,7,0
6,944,1647,0,3,0
6,579,1647,0,8,0
6,949,1647,0,6,0
6,619,1647,0,8,0
6,599,1647,0,4,0
6,2190,1648,0,2,0
6,943,1649,0,0,0
6,573,1650,0,0,0
6,989,1650,0,0,0
6,652,1650,0,6,0
6,596,1650,0,7,0
6,1815,1650,0,0,0
6,943,1650,0,0,0
6,576,1650,0,6,0
6,4000,1650,0,0,0
6,2244,1650,0,6,0
6,614,1650,0,0,0
6,565,1650,0,0,0
6,574,1650,0,0,0
6,667,1650,0,3,0
6,611,1650,0,0,0
6,567,1650,0,0,0
6,609,1650,0,2,0
6,2541,1650,0,0,0
6,599,1650,0,0,0
6,1938,1650,0,0,0
6,2545,1650,0,0,0
6,1628,1650,0,0,0
6,668,1650,0,0,0
6,594,1650,0,0,0
6,1939,1650,0,0,0
6,588,1650,0,0,0
6,942,1650,0,0,0
6,646,1650,0,0,0
6,2542,1650,0,6,0
6,623,1650,0,0,0
6,619,1650,0,1,0
6,1814,1650,0,0,0
6,662,1650,0,5,0
6,2549,1650,0,2,0
6,570,1650,0,5,0
6,663,1650,0,5,0
6,2550,1650,0,0,0
6,2245,1650,0,0,0
6,582,1650,0,0,0
6,2546,1650,0,0,0
6,2551,1650,0,0,0
6,1478,1650,0,2,0
6,579,1650,0,6,0
6,2168,1650,0,1,0
6,4621,1654,0,0,0
6,570,1654,0,0,0
6,4001,1654,0,0,0
6,4538,1654,0,0,0
6,618,1654,1,0,0
6,2168,1654,0,0,0
6,594,1654,0,0,0
6,609,1654,0,0,0
6,599,1654,0,0,0
6,632,1654,0,0,0
6,674,1703,0,18,0
6,652,1703,0,1,2
6,4003,1703,0,34,0
6,628,1703,0,24,6
6,635,1703,0,1,0
6,565,1703,0,12,0
6,4005,1703,0,28,0
6,1939,1703,0,0,0
6,609,1703,0,0,0
6,650,1703,0,13,0
6,4620,1703,0,23,5
6,569,1703,0,6,3
6,5550,1703,0,13,0
6,949,1703,0,5,0
6,642,1703,0,8,2
6,632,1703,14,54,26
6,654,1703,0,4,0
6,599,1703,0,26,0
6,1476,1703,0,4,0
6,602,1703,0,6,0
6,581,1703,1,58,1
6,664,1703,0,23,0
6,4710,1703,2,3,0
6,576,1703,0,8,3
6,2168,1703,0,5,2
6,3184,1703,0,17,0
6,634,1703,0,31,4
6,2244,1703,0,13,0
6,4878,1703,0,46,27
6,4970,1703,0,4,1
6,665,1703,0,5,5
6,5549,1703,0,0,0
6,646,1703,0,4,1
6,668,1703,0,9,0
6,943,1703,3,17,0
6,4971,1703,0,0,0
6,626,1703,1,14,3
6,1628,1703,0,41,7
6,595,1703,0,14,0
6,2190,1703,0,0,5
6,591,1703,0,5,2
6,648,1703,0,0,7
6,4538,1703,0,11,0
6,2545,1703,0,23,0
6,5718,1703,0,0,0
