sku_group_id,item_quantity,vending_machine_id,warehouse_id
22926,3,68,1
22926,3,68,1
24746,3,68,1
28232,4,68,1
25610,5,68,1
27897,2,68,1
25610,10,68,1
13135,2,3392,1
12327,4,68,1
36425,2,3392,1
20523,9,68,1
13743,2,3398,1
33527,10,68,1
33770,2,3398,1
32599,5,68,1
34399,3,3398,1
17951,3,68,1
36425,3,3398,1
20852,14,68,1
13954,13,3398,1
17951,7,68,1
14017,2,3398,1
31322,6,68,1
36632,3,3398,1
32599,10,68,1
14017,3,89,1
19502,2,68,1
17703,1,89,1
18105,6,2008,1
33021,1,89,1
16037,2,2008,1
23637,3,89,1
30941,5,2008,1
24843,2,89,1
19434,5,2008,1
33022,1,89,1
28231,5,2008,1
22926,7,89,1
24865,3,2008,1
32599,6,89,1
32597,11,2008,1
25450,2,89,1
13744,5,2008,1
33529,9,89,1
20770,1,2008,1
24843,2,89,1
35224,2,2008,1
32599,3,89,1
17417,1,89,1
17951,3,89,1
13848,4,89,1
32599,3,89,1
30940,3,89,1
32598,4,89,1
18083,1,89,1
25450,5,89,1
31322,3,89,1
25610,3,89,1
14017,2,89,1
32597,3,89,1
14017,3,89,1
17414,1,89,1
13152,1,89,1
24843,1,89,1
19502,3,89,1
14017,2,89,1
25609,3,89,1
17415,1,89,1
33529,2,89,1
31322,4,89,1
12327,2,89,1
14017,3,89,1
32597,2,89,1
33526,2,89,1
23637,4,89,1
32179,3,89,1
12823,1,89,1
31473,1,89,1
14017,2,89,1
31475,1,89,1
32597,2,89,1
32599,2,89,1
19500,2,89,1
25450,2,89,1
25450,2,89,1
14017,2,89,1
12327,6,89,1
25609,3,89,1
12854,6,89,1
12441,6,89,1
25610,3,89,1
32599,2,89,1
12485,7,89,1
27897,3,90,1
13743,6,89,1
19501,5,90,1
20854,6,89,1
25610,3,90,1
32598,4,89,1
19502,4,90,1
31322,5,89,1
19502,6,92,1
30940,2,89,1
18556,6,92,1
32598,2,89,1
33527,6,92,1
15058,4,89,1
15171,3,92,1
20852,16,90,1
33527,5,92,1
31322,3,90,1
27897,3,92,1
32598,4,90,1
