mvid,mrp,offer_price,zoho_id,vendor_price,variant_id,variant_name,product_id,product_name,brand_id,brand_name
"30,427",10,10,201333000040185990,6.96,7659,Bingo Hot & Spicy Korean Potato Chips Rs 10,"5,273",Bingo Hot & Spicy Korean Potato Chips Rs 10,"1,447",Bingo
"30,428",10,10,201333000040204061,6.96,5291,Bingo Hashtag Spicy Masala Potato Chips Rs 10,"3,088",Hashtag potato chips,"1,447",Bingo
"30,429",10,10,201333000040205001,6.96,7658,Bingo Hot & Spicy Korean Style Chips ,"5,272",Bingo Hot & Spicy Korean Style Chips Rs 10,"1,447",Bingo
"30,442",13,13,201333000040250002,13,9760,Baby Stuffed Paratha,"7,267",Baby Stuffed Paratha,"1,541",Jmd Apple Tree International
"30,443",13,13,201333000040245002,13,9760,Baby Stuffed Paratha,"7,267",Baby Stuffed Paratha,"1,541",Jmd Apple Tree International
"30,444",13,13,201333000040251001,13,9760,Baby Stuffed Paratha,"7,267",Baby Stuffed Paratha,"1,541",Jmd Apple Tree International
"30,445",13,13,201333000040254001,13,9761,Methi Gota With Imli Chutney,"7,268",Methi Gota With Imli Chutney,"1,541",Jmd Apple Tree International
"30,446",13,13,201333000040248009,13,9761,Methi Gota With Imli Chutney,"7,268",Methi Gota With Imli Chutney,"1,541",Jmd Apple Tree International
"30,447",13,13,201333000040246084,13,9761,Methi Gota With Imli Chutney,"7,268",Methi Gota With Imli Chutney,"1,541",Jmd Apple Tree International
"30,448",10,10,201333000040257002,7.96,5293,Bingo Hashtag Cream Onion Chips Rs 10,"3,090",Hashtag cream onion chips,"1,447",Bingo
"30,453",60,60,201333000040310063,48,7237,Galaxy Fusions Dark chocolate ,"4,855",Galaxy Fusions Dark chocolate Rs 50,"1,837",Galaxy Milk Chocolate 
"30,482",15,15,201333000040568518,12.05,2684,Maggi Masala Single Pack Rs14,128,Masala Maggi,12,Nestle 
"30,484",14,14,201333000040585076,9.87,694,Frooti ,538,Frooti,"1,506",Frooti
"30,485",14,14,201333000040570072,9.87,984,Appy 200ml Rs 15,94,Appy,19,Parle 
"30,517",15,15,201333000040666005,12.05,9787,Maggi Rs 15,"7,294",Maggi Rs 15,12,Nestle 
"30,518",10,10,201333000040650062,6.78,3055,Britannia Tiger Chocochips Rs 10,792,BRITANNIA NUTRI CHOICE BISCUITS - DIGESTIVE MRP-10,"1,455",Britannia
"30,554",50,50,201333000040671377,40,3535,Coca cola Original Taste ,"1,933",Coca cola Original Taste Rs 40,17,Coca Cola 
"30,562",10,10,201333000040688853,8.5,8257,Haldirams Aloo Bhujia,"5,801",Haldirams Aloo Bhujia,"1,523",Haldirams 2
"30,578",10,10,201333000040712078,7.63,9817,Haldiram Chips Tangi Tomato,"1,821",Haldiram Chips Classic Salted Rs 25 ,"1,523",Haldirams 2
"30,579",20,20,201333000040727868,16.74,831,Too Yumm Veggie Stix  Sour Cream & Onion ,746,Too Yumm Veggie Stix - Sour Cream & Onion,6,Too Yumm 
"30,580",20,20,201333000040702445,16.74,9598,Too Yumm Bhoot Chips Rs 20,"7,125",Too Yumm Bhoot Chips Rs 20,6,Too Yumm 
"30,581",20,20,201333000040718909,16.74,9818,Too Yumm Bhoot Wafers,"6,934",Too Yumm Smoking Bhoot Wafers Rs 10,6,Too Yumm 
"30,591",10,10,201333000040761683,7.63,9572,Haldirams Peeloz Choco Block,"7,099",Haldirams Peeloz Choco Block Rs 10,"1,523",Haldirams 2
"30,592",10,10,201333000040766177,7.63,9423,Haldirams Peeloz Orange Rs 10,"6,951",Haldirams Peeloz Orange Rs 10,"1,523",Haldirams 2
"30,593",10,10,201333000040758263,7.63,9570,Haldirams Peeloz French Vanilla Rs 10,"7,097",Haldirams Peeloz French Vanilla Rs 10,"1,523",Haldirams 2
"30,594",20,20,201333000040774018,15.39,6496,Lays Uncle Chips Spicy Treat Rs 20,"4,158",Lays Uncle Chips Spicy Treat Rs 20,"1,563",Layss
"30,595",40,40,201333000040783002,25,9084,Meow Crispy Peri Peri Chips ,"6,613",Meow Crispy Peri Peri Chips Rs 30,"2,399",Meow
"30,603",25,25,201333000040814101,14.51,9825,Nuttoz Roasted Cashew Rs 25,"7,328",Nuttoz Roasted Cashew Rs 25,"2,406",Nuttoz
"30,604",30,30,201333000040814172,18.21,9088,Meow Crispy Black Magic Rs 30,"6,617",Meow Crispy Black Magic Rs 30,"2,399",Meow
"30,606",30,30,201333000040810143,18.21,9084,Meow Crispy Peri Peri Chips ,"6,613",Meow Crispy Peri Peri Chips Rs 30,"2,399",Meow
"30,607",10,10,201333000040801151,6.19,9501,Nuttoz Peanut Chikki Rs 10,"7,029",Nuttoz Peanut Coconut Chikki Rs 10,"2,406",Nuttoz
"30,608",25,25,201333000040817001,14.51,9825,Nuttoz Roasted Cashew Rs 25,"7,328",Nuttoz Roasted Cashew Rs 25,"2,406",Nuttoz
"30,609",20,20,201333000040817072,11.61,9194,Nuttoz Peanut Cracker Black Pepper Rs 20,"6,726",Nuttoz Peanut Cracker Black Pepper Rs 20,"2,406",Nuttoz
"30,610",20,20,201333000040818001,12.5,8278,Alo frut Mosambi Aloevera Juice Rs 20,"5,822",Alo frut Mosambi Aloevera Juice Rs 20,"1,795",Alo Frut
"30,611",20,20,201333000040818072,12.5,4552,Alo Frut Berries,"2,415",Alo Frut Berries,"1,795",Alo Frut
"30,612",20,20,201333000040819001,12.5,8272,Alo Frut Kiwi Aloevera Juice Rs 20,"5,816",Alo Frut Kiwi Aloevera Juice Rs 20,"1,795",Alo Frut
"30,614",10,10,201333000040820003,6.36,6826,Americana Butter Cookies Rs 10,"4,469",Americana Butter Cookies Rs 10,"2,055",Bonn 
"30,615",10,10,201333000040824001,6.36,9827,Bonn cheese cracker,"3,930",Bonn classic Bourbonn Biscuits Rs 10,"2,055",Bonn 
"30,616",10,10,201333000040825001,6.36,6827,Americana Coconut Cookies Rs 10,"4,470",Americana Coconut Cookies Rs 10,"2,055",Bonn 
"30,617",10,10,201333000040829001,6.36,6828,Americana Digestive Biscuits Rs 10,"4,471",Americana Digestive Biscuits Rs 10,"2,055",Bonn 
"30,618",10,10,201333000040818143,6.36,9828,Americano Cashew Cookies,"3,795",Americano Cashew Cookies,"2,055",Bonn 
"30,620",20,20,201333000040831001,12.5,5414,Puzzles Aloo Bhujia Rs 20,"3,200",Aloo Bhujia Rs 20,"1,781",Puzzles
"30,621",20,20,201333000040832001,12.5,6030,Puzzles Ratlami Sev Rs 20,"3,728",Puzzles Ratlami Sev Rs 20,"1,781",Puzzles
"30,622",10,10,201333000040833001,6.69,3741,Puzzles Party Mix,"2,026",Puzzles Party Mix Rs 10,"1,781",Puzzles
"30,623",30,30,201333000040829072,18.21,9088,Meow Crispy Black Magic Rs 30,"6,617",Meow Crispy Black Magic Rs 30,"2,399",Meow
"30,625",30,30,201333000040832072,18.21,9084,Meow Crispy Peri Peri Chips ,"6,613",Meow Crispy Peri Peri Chips Rs 30,"2,399",Meow
"30,626",10,10,201333000040825082,6.19,9501,Nuttoz Peanut Chikki Rs 10,"7,029",Nuttoz Peanut Coconut Chikki Rs 10,"2,406",Nuttoz
"30,627",25,25,201333000040834001,14.51,9825,Nuttoz Roasted Cashew Rs 25,"7,328",Nuttoz Roasted Cashew Rs 25,"2,406",Nuttoz
"30,628",20,20,201333000040834072,11.61,9826,Nuttoz Roasted Peanuts Rs 20,"6,723",Nuttoz Roasted Peanuts Rs 20,"2,406",Nuttoz
