warehouse ID,cleaned SKU,SUM of Quantity Received
5,32260,1920
5,32349,7700
5,32485,2025
5,32695,2700
5,32982,4800
5,33632,240
5,33633,504
5,33747,7380
5,34323,30552
5,34332,2688
5,34398,3720
5,34407,1900
5,34408,5208
5,34409,300
5,34435,1440
5,34510,13680
5,35015,103
5,35016,3
5,35017,6
5,35020,124
5,35021,49
5,35022,98
5,35134,11250
5,35324,8216
5,35325,4800
5,35406,3000
5,35407,2700
5,36089,4400
5,36090,13680
5,36347,678
5,36378,500
5,36428,600
5,36430,1152
5,36483,4752
5,36484,6768
5,36510,7290
5,36653,10764
5,36654,15264
5,37038,6120
5,37039,6528
5,37274,13000
5,37416,11520
5,37587,2304
5,37826,27336
5,37830,17400
5,39004,13500
5,39005,4700
5,39006,7200
5,39087,1220
5,39749,6900
5,40370,31680
5,40443,21696
5,40444,5040
5,40939,840
5,41259,2400
5,41264,1350
5,42747,11380
5,42749,6912
5,42750,5952
5,43045,288
5,43947,1440
5,43950,900
5,43951,900
5,43954,1200
5,43956,2400
5,43958,2970
5,44039,9300
5,44045,2772
5,44285,300
5,44498,240
5,45457,288
5,45458,720
6,1636,37920
6,1645,14112
6,1703,80700
6,1707,39900
6,1709,10032
6,1710,8700
6,1839,21912
6,1841,3938
6,1843,46320
6,1846,5880
6,1848,900
6,1890,77760
6,2013,79080
6,2053,49355
6,2097,66192
6,2189,1080
6,2216,21504
6,2235,34800
6,2236,5040
6,2258,6480
6,2449,1800
6,2450,2775
6,2459,7800
6,4974,19368
6,6246,15360
6,6265,27840
6,6278,1536
6,6281,14640
6,6303,3600
6,6304,4500
6,6309,23472
6,6319,12600
6,6321,10080
6,6322,28560
6,6359,1120
6,6361,1120
6,6365,1120
6,6379,1435
6,6389,10944
6,6423,18480
6,6433,10560
6,6452,3000
6,6459,5400
6,6462,17772
6,6475,7800
6,6507,5760
6,6512,84780
6,6519,10506
6,6543,1920
6,6555,936
6,6573,9600
6,6583,4200
6,6613,2880
6,6620,10800
6,6680,2520
6,6686,4890
6,6687,4875
6,6688,1680
6,6696,420
6,6890,1680
6,6985,18000
6,6999,9800
6,7146,46512
6,7150,3600
6,7165,8436
6,10836,204
6,12171,1800
6,14333,480
6,14506,23940
6,14507,8400
6,14534,15900
6,14821,21830
6,14822,23670
6,14823,48085
6,14910,260
6,14912,558
6,14914,819
6,14919,2471
6,14920,2740
6,14922,4524
6,14924,882
6,14925,1802
6,14926,794
6,14959,2418
6,14961,3945
6,14962,1850
6,14963,10151
6,14964,17536
6,14966,7200
6,14967,1339
6,14968,2830
6,14970,1883
6,14989,2531
6,14990,3654
6,14991,2075
6,15004,440
6,15006,556
6,15007,1033
6,15021,3289
6,15023,5082
6,15024,6602
6,15168,1120
6,15393,4137
6,15394,2790
6,15395,5472
6,15619,360
6,15620,4060
6,15658,11616
6,17109,776
6,17110,1365
6,17112,916
6,17976,62400
6,18611,150
6,19472,18900
6,19569,18360
6,19644,27360
6,20055,548
6,20059,676
6,20061,1287
6,21465,12000
6,21466,12000
6,21468,10720
6,22242,13056
6,22244,1920
6,22245,4032
6,23097,3187
6,23098,2254
6,23099,4252
6,23133,2513
6,23134,2161
6,23135,3704
6,23137,2040
6,23138,1375
6,23139,3062
6,24053,1580
6,24054,840
6,24819,11808
6,24820,15840
6,24839,1500
6,24840,1500
6,24960,4224
6,25602,3600
6,27978,450
6,30442,1277
6,30443,1228
6,30444,2415
6,30445,2223
6,30446,3177
6,30447,4295
6,32052,13968
6,32053,2304
6,32054,8784
6,32116,3640
6,32117,17640
6,32629,2520
6,33204,13340
6,33205,2470
6,33851,14400
6,33852,27100
6,33853,23400
6,33854,18930
6,33855,3000
6,34346,1920
6,34347,6720
6,34752,17700
6,34753,22650
6,34754,21100
6,34755,13050
6,34757,14500
6,34758,36870
6,34759,14700
6,35328,2016
6,35329,4104
6,35330,1080
6,35375,5520
6,35919,2041
6,35920,2106
6,35921,3359
6,36437,62640
6,36563,22152
6,36571,12000
6,38162,1970
6,38621,22368
6,38622,9468
6,38623,7968
6,38998,17400
6,39891,8400
6,40223,14400
6,40224,14400
6,40604,2520
6,40605,180
6,40606,1275
6,40607,640
6,40608,1200
6,40609,960
6,40610,1260
6,40611,5880
6,40777,132
6,40778,344
6,40779,126
6,40780,474
6,40781,288
6,40782,856
6,41083,4800
6,41084,1188
6,41085,6450
6,41392,360
6,41393,270
6,41395,2040
6,41396,2040
6,42172,4700
6,42173,7805
6,42738,4320
6,42768,2880
6,42769,10944
6,42770,2880
6,42771,7200
6,42787,5700
6,42788,3300
6,43280,112
6,43281,84
6,43282,242
6,43283,760
6,43284,685
6,43285,465
6,43286,386
